,goods,experience
0,beauty,5-
1,beauty,3-5
2,outdoor,0-1
3,outdoor,0-1
4,clothes,3-5
5,clothes,1-3
6,clothes,1-3
7,clothes,5-
8,clothes,1-3
9,clothes,5-
10,beauty,5-
11,beauty,0-1
12,clothes,5-
13,outdoor,1-3
14,electronics,1-3
15,electronics,0-1
16,clothes,3-5
17,clothes,0-1
18,beauty,0-1
19,beauty,1-3
20,clothes,1-3
21,electronics,1-3
22,outdoor,5-
23,electronics,0-1
24,electronics,1-3
25,pets,0-1
26,beauty,3-5
27,outdoor,5-
28,pets,1-3
29,outdoor,3-5
30,beauty,0-1
31,clothes,1-3
32,clothes,1-3
33,clothes,1-3
34,clothes,1-3
35,pets,1-3
36,clothes,1-3
37,outdoor,1-3
38,clothes,1-3
39,beauty,0-1
40,electronics,5-
41,beauty,3-5
42,beauty,5-
43,beauty,5-
44,outdoor,1-3
45,electronics,1-3
46,electronics,0-1
47,clothes,1-3
48,clothes,0-1
49,electronics,3-5
50,clothes,0-1
51,outdoor,5-
52,clothes,5-
53,clothes,1-3
54,clothes,1-3
55,clothes,0-1
56,electronics,1-3
57,clothes,1-3
58,clothes,0-1
59,clothes,1-3
60,electronics,1-3
61,clothes,1-3
62,outdoor,0-1
63,clothes,0-1
64,electronics,0-1
65,electronics,0-1
66,electronics,1-3
67,beauty,3-5
68,beauty,1-3
69,beauty,1-3
70,electronics,0-1
71,clothes,1-3
72,clothes,0-1
73,beauty,0-1
74,outdoor,1-3
75,clothes,5-
76,outdoor,0-1
77,clothes,1-3
78,outdoor,3-5
79,pets,1-3
80,outdoor,1-3
81,clothes,0-1
82,outdoor,5-
83,beauty,1-3
84,electronics,5-
85,clothes,1-3
86,outdoor,1-3
87,clothes,5-
88,clothes,5-
89,outdoor,3-5
90,electronics,3-5
91,clothes,0-1
92,beauty,0-1
93,electronics,5-
94,clothes,0-1
95,clothes,1-3
96,beauty,1-3
97,outdoor,5-
98,clothes,5-
99,clothes,1-3
100,outdoor,0-1
101,beauty,3-5
102,pets,0-1
103,electronics,5-
104,clothes,5-
105,beauty,0-1
106,clothes,0-1
107,clothes,3-5
108,clothes,5-
109,electronics,0-1
110,pets,1-3
111,electronics,1-3
112,clothes,3-5
113,outdoor,3-5
114,electronics,5-
115,outdoor,3-5
116,outdoor,3-5
117,outdoor,0-1
118,clothes,0-1
119,beauty,1-3
120,beauty,1-3
121,electronics,0-1
122,clothes,0-1
123,beauty,0-1
124,beauty,0-1
125,beauty,0-1
126,electronics,1-3
127,beauty,1-3
128,clothes,0-1
129,electronics,1-3
130,outdoor,1-3
131,clothes,1-3
132,electronics,5-
133,clothes,3-5
134,outdoor,5-
135,clothes,0-1
136,clothes,1-3
137,beauty,0-1
138,pets,1-3
139,clothes,0-1
140,electronics,0-1
141,clothes,0-1
142,outdoor,0-1
143,electronics,1-3
144,clothes,1-3
145,electronics,0-1
146,outdoor,3-5
147,clothes,3-5
148,clothes,3-5
149,beauty,3-5
150,outdoor,0-1
151,clothes,0-1
152,pets,1-3
153,beauty,5-
154,clothes,1-3
155,clothes,1-3
156,outdoor,3-5
157,clothes,1-3
158,beauty,5-
159,clothes,3-5
160,outdoor,5-
161,outdoor,1-3
162,clothes,0-1
163,outdoor,1-3
164,outdoor,0-1
165,clothes,1-3
166,clothes,1-3
167,beauty,1-3
168,electronics,0-1
169,outdoor,0-1
170,clothes,0-1
171,beauty,1-3
172,clothes,1-3
173,electronics,1-3
174,clothes,5-
175,beauty,3-5
176,clothes,0-1
177,beauty,0-1
178,beauty,1-3
179,beauty,3-5
180,clothes,0-1
181,electronics,1-3
182,beauty,0-1
183,electronics,1-3
184,clothes,5-
185,electronics,5-
186,electronics,1-3
187,clothes,0-1
188,outdoor,1-3
189,electronics,0-1
190,outdoor,1-3
191,electronics,1-3
192,clothes,1-3
193,beauty,1-3
194,outdoor,0-1
195,clothes,1-3
196,electronics,1-3
197,beauty,3-5
198,outdoor,1-3
199,beauty,0-1
200,clothes,0-1
201,electronics,1-3
202,outdoor,5-
203,beauty,1-3
204,clothes,3-5
205,electronics,1-3
206,clothes,1-3
207,electronics,1-3
208,beauty,1-3
209,electronics,0-1
210,outdoor,5-
211,outdoor,1-3
212,electronics,0-1
213,clothes,0-1
214,clothes,3-5
215,clothes,0-1
216,clothes,0-1
217,beauty,1-3
218,electronics,3-5
219,beauty,5-
220,clothes,1-3
221,outdoor,3-5
222,electronics,5-
223,electronics,0-1
224,electronics,1-3
225,electronics,0-1
226,clothes,3-5
227,beauty,5-
228,outdoor,1-3
229,outdoor,1-3
230,outdoor,1-3
231,outdoor,0-1
232,clothes,1-3
233,electronics,0-1
234,beauty,1-3
235,clothes,0-1
236,clothes,0-1
237,clothes,5-
238,electronics,1-3
239,outdoor,5-
240,electronics,3-5
241,beauty,3-5
242,clothes,3-5
243,electronics,0-1
244,electronics,1-3
245,outdoor,5-
246,beauty,5-
247,clothes,1-3
248,clothes,1-3
249,clothes,5-
250,clothes,1-3
251,pets,1-3
252,beauty,5-
253,electronics,3-5
254,electronics,1-3
255,outdoor,1-3
256,outdoor,5-
257,clothes,0-1
258,beauty,5-
259,outdoor,0-1
260,electronics,0-1
261,pets,5-
262,clothes,1-3
263,outdoor,1-3
264,clothes,1-3
265,clothes,0-1
266,clothes,1-3
267,clothes,0-1
268,electronics,1-3
269,electronics,1-3
270,outdoor,3-5
271,clothes,1-3
272,clothes,0-1
273,clothes,1-3
274,pets,1-3
275,outdoor,0-1
276,clothes,1-3
277,beauty,5-
278,electronics,0-1
279,pets,1-3
280,outdoor,3-5
281,electronics,1-3
282,electronics,5-
283,outdoor,1-3
284,electronics,0-1
285,electronics,1-3
286,clothes,5-
287,outdoor,5-
288,clothes,0-1
289,electronics,0-1
290,beauty,5-
291,outdoor,3-5
292,clothes,0-1
293,clothes,0-1
294,beauty,1-3
295,clothes,5-
296,electronics,0-1
297,electronics,1-3
298,clothes,1-3
299,electronics,5-
300,electronics,1-3
301,clothes,1-3
302,outdoor,1-3
303,clothes,3-5
304,clothes,3-5
305,clothes,5-
306,clothes,1-3
307,clothes,3-5
308,electronics,5-
309,electronics,5-
310,outdoor,1-3
311,pets,1-3
312,electronics,0-1
313,outdoor,5-
314,clothes,0-1
315,beauty,3-5
316,electronics,0-1
317,electronics,1-3
318,beauty,3-5
319,beauty,1-3
320,clothes,5-
321,clothes,3-5
322,electronics,3-5
323,electronics,3-5
324,clothes,0-1
325,electronics,5-
326,beauty,1-3
327,clothes,3-5
328,beauty,1-3
329,beauty,0-1
330,electronics,0-1
331,pets,3-5
332,beauty,1-3
333,clothes,0-1
334,pets,5-
335,electronics,0-1
336,outdoor,0-1
337,clothes,5-
338,electronics,1-3
339,clothes,3-5
340,electronics,0-1
341,outdoor,1-3
342,clothes,0-1
343,outdoor,0-1
344,electronics,0-1
345,beauty,1-3
346,beauty,3-5
347,beauty,0-1
348,beauty,1-3
349,electronics,1-3
350,clothes,0-1
351,clothes,0-1
352,beauty,1-3
353,electronics,0-1
354,beauty,5-
355,electronics,0-1
356,outdoor,1-3
357,clothes,0-1
358,electronics,0-1
359,pets,5-
360,outdoor,1-3
361,clothes,1-3
362,clothes,0-1
363,clothes,3-5
364,clothes,5-
365,clothes,1-3
366,clothes,0-1
367,clothes,1-3
368,outdoor,0-1
369,clothes,1-3
370,clothes,5-
371,electronics,5-
372,clothes,1-3
373,clothes,1-3
374,electronics,1-3
375,clothes,0-1
376,electronics,1-3
377,clothes,0-1
378,pets,0-1
379,electronics,5-
380,clothes,0-1
381,clothes,1-3
382,clothes,1-3
383,clothes,1-3
384,clothes,5-
385,outdoor,0-1
386,outdoor,0-1
387,clothes,1-3
388,clothes,5-
389,beauty,5-
390,electronics,5-
391,clothes,1-3
392,electronics,1-3
393,outdoor,5-
394,electronics,0-1
395,beauty,0-1
396,electronics,1-3
397,beauty,3-5
398,electronics,3-5
399,clothes,0-1
400,clothes,0-1
401,beauty,1-3
402,clothes,1-3
403,beauty,1-3
404,clothes,0-1
405,clothes,0-1
406,clothes,1-3
407,clothes,1-3
408,clothes,0-1
409,clothes,1-3
410,clothes,0-1
411,clothes,3-5
412,electronics,0-1
413,clothes,1-3
414,beauty,1-3
415,electronics,1-3
416,clothes,0-1
417,electronics,0-1
418,clothes,1-3
419,clothes,1-3
420,outdoor,0-1
421,outdoor,1-3
422,clothes,0-1
423,beauty,0-1
424,electronics,0-1
425,electronics,0-1
426,outdoor,5-
427,electronics,1-3
428,outdoor,3-5
429,electronics,0-1
430,clothes,0-1
431,pets,0-1
432,beauty,1-3
433,pets,1-3
434,electronics,3-5
435,outdoor,0-1
436,beauty,1-3
437,electronics,1-3
438,beauty,1-3
439,electronics,1-3
440,electronics,1-3
441,outdoor,0-1
442,beauty,5-
443,electronics,3-5
444,clothes,0-1
445,outdoor,3-5
446,clothes,5-
447,outdoor,3-5
448,beauty,0-1
449,pets,0-1
450,electronics,1-3
451,clothes,3-5
452,clothes,0-1
453,electronics,3-5
454,clothes,5-
455,beauty,3-5
456,electronics,1-3
457,electronics,0-1
458,beauty,5-
459,clothes,0-1
460,outdoor,1-3
461,beauty,1-3
462,outdoor,1-3
463,electronics,5-
464,clothes,5-
465,clothes,0-1
466,clothes,0-1
467,beauty,1-3
468,beauty,1-3
469,clothes,5-
470,beauty,1-3
471,electronics,0-1
472,clothes,1-3
473,beauty,0-1
474,electronics,1-3
475,beauty,3-5
476,beauty,1-3
477,electronics,5-
478,clothes,3-5
479,beauty,5-
480,electronics,1-3
481,electronics,1-3
482,clothes,1-3
483,electronics,1-3
484,clothes,1-3
485,clothes,1-3
486,electronics,5-
487,outdoor,1-3
488,clothes,1-3
489,clothes,5-
490,beauty,0-1
491,beauty,0-1
492,beauty,0-1
493,beauty,0-1
494,electronics,3-5
495,clothes,3-5
496,beauty,1-3
497,clothes,1-3
498,clothes,0-1
499,beauty,0-1
500,clothes,0-1
501,outdoor,0-1
502,clothes,3-5
503,outdoor,5-
504,clothes,1-3
505,beauty,1-3
506,clothes,0-1
507,electronics,5-
508,clothes,1-3
509,clothes,0-1
510,outdoor,5-
511,beauty,0-1
512,beauty,5-
513,beauty,1-3
514,outdoor,1-3
515,outdoor,3-5
516,electronics,5-
517,outdoor,0-1
518,beauty,5-
519,outdoor,1-3
520,beauty,1-3
521,electronics,0-1
522,beauty,1-3
523,clothes,3-5
524,clothes,3-5
525,clothes,3-5
526,beauty,1-3
527,clothes,1-3
528,clothes,1-3
529,clothes,3-5
530,electronics,0-1
